receiverx,receivery,receivers,receivera,receiverdis,receivero,receiverdir,distance_to_nearest_def,defenderx,defendery,defenders,defendera,defenderdis,defendero,defenderdir,defenders_in_path,friends_in_path,pass_length,yards_to_go,yardline_num,yards_gained
61.87,30.19,2.76,3.89,0.26,344.54,15.53,2.7653752005831054,64.54,29.47,4.98,4.84,0.51,289.46,288.8,2,0,4.0,10,48,6
78.54,25.53,6.32,1.23,0.64,180.84,198.45,2.720771949282044,77.49,28.04,6.54,1.62,0.66,148.37,188.85,4,4,9.0,10,22,2
73.2,21.4,2.78,5.1,0.3,318.1,335.04,1.1676472069936206,72.17,21.95,3.0,2.6,0.3,1.87,45.6,6,5,2.0,9,34,2
67.24,39.52,4.3,4.96,0.43,54.83,337.76,1.940309253701588,67.72,37.64,6.04,3.13,0.61,6.38,350.66,2,3,4.0,5,38,2
97.4,30.37,7.14,3.59,0.72,166.97,135.34,1.117899816620432,97.81,31.41,8.34,5.02,0.84,202.37,140.31,1,1,40.0,7,47,7
84.96,4.65,4.87,4.42,0.49,302.6,200.6,8.328673363747674,82.94,12.73,7.63,2.97,0.76,182.85,179.71,1,2,3.0,10,22,7
74.69,35.44,0.96,3.22,0.08,197.78,239.99,3.6841552627434155,71.82,33.13,3.32,1.47,0.34,56.81,47.28,6,1,3.0,10,32,4
67.54,3.91,6.15,2.8,0.63,152.69,185.4,2.3841560351621287,66.95,6.22,7.64,1.55,0.77,141.89,176.89,0,0,3.0,3,39,1
51.63,16.37,4.19,2.9,0.43,228.42,176.96,1.0101980003939834,52.45,15.78,4.5,2.98,0.46,246.6,213.98,3,5,1.0,10,41,0
109.4,8.02,5.61,3.74,0.58,288.82,86.77,1.0700000000000074,108.33,8.02,9.69,2.85,0.98,86.21,92.0,0,0,52.0,4,47,1
95.97,13.24,7.24,2.94,0.73,259.64,208.0,9.052209674990964,96.44,22.28,4.91,2.74,0.5,190.82,195.94,3,3,-5.0,15,19,10
80.1,35.07,3.8,2.53,0.38,274.1,344.07,5.381867705546085,74.76,34.4,4.7,1.45,0.46,69.89,37.39,3,11,6.0,10,24,3
71.21,13.86,0.09,1.16,0.01,41.86,355.46,1.1754573577973775,70.05,13.67,3.06,3.36,0.32,71.26,86.91,9,0,5.0,10,34,1
67.62,46.17,6.0,1.41,0.61,1.71,341.91,2.0981182044870645,65.72,45.28,7.43,0.49,0.73,45.63,26.74,0,0,2.0,4,40,3
71.67,29.89,1.73,1.28,0.19,189.94,274.55,2.2294842452908283,70.52,27.98,4.93,0.77,0.49,34.73,25.72,0,0,4.0,10,34,2
64.47,47.81,1.69,3.35,0.17,133.5,64.16,3.1765704777322403,64.06,44.66,6.39,2.12,0.65,18.35,11.33,2,0,6.0,4,40,-1
60.75,28.3,5.51,3.56,0.55,209.53,228.32,5.10627065479299,61.57,33.34,5.04,2.21,0.5,204.67,206.7,6,5,4.0,10,45,7
49.66,32.31,0.83,2.65,0.07,117.74,59.94,1.4286357128393479,48.63,31.32,3.96,2.3,0.38,55.07,43.48,5,0,4.0,10,44,0
49.74,12.79,4.22,6.14,0.41,323.85,314.27,2.8622543562723433,48.44,10.24,2.19,3.86,0.22,16.21,326.68,10,6,-1.0,6,40,29
54.34,27.91,4.24,1.67,0.43,334.87,52.29,2.5330811277967387,56.52,29.2,4.84,1.6,0.47,213.38,230.89,7,2,1.0,4,42,4
66.51,17.48,7.61,2.0,0.77,182.11,175.33,4.879549159502335,71.33,16.72,7.43,0.62,0.74,239.51,205.65,3,4,8.0,8,49,3
29.87,37.1,3.12,4.91,0.29,138.74,66.78,8.197475221066547,29.52,28.91,4.95,4.0,0.49,10.98,13.93,5,2,-2.0,10,21,7
86.0,39.93,1.68,3.18,0.16,291.19,325.22,1.8584133017173556,84.44,40.94,2.46,1.7,0.25,161.58,30.56,3,0,-4.0,5,28,8
54.36,18.59,6.63,1.7,0.66,347.52,8.05,1.9366982212001922,55.48,17.01,7.79,2.45,0.78,358.72,1.85,5,0,19.0,10,25,3
38.37,12.99,7.62,0.9,0.77,157.58,177.97,1.471393896956212,36.92,13.24,8.65,1.29,0.87,126.47,156.09,2,0,2.0,10,30,0
48.96,44.39,7.04,3.17,0.71,237.88,316.79,9.912562736245354,39.46,41.56,6.77,0.75,0.68,58.76,27.64,3,4,-7.0,10,33,15
84.88,7.19,6.73,1.97,0.68,181.47,191.46,2.0130822139197337,83.31,8.45,8.3,0.56,0.83,168.58,180.97,1,0,3.0,10,21,3
80.89,25.68,5.47,3.34,0.56,184.7,199.64,4.932068531559549,77.12,28.86,4.65,2.82,0.45,153.47,187.83,3,5,7.0,20,22,4
72.69,36.67,1.56,2.93,0.14,200.13,214.45,1.4586637720873152,71.78,37.81,4.82,3.02,0.47,169.4,139.57,9,11,4.0,9,33,2
42.98,43.95,4.71,0.85,0.47,311.96,318.96,1.0770329614269054,44.02,44.23,4.37,4.08,0.43,195.19,218.97,0,0,9.0,18,25,2
83.76,34.45,4.03,3.41,0.41,159.6,188.97,1.5368799562750455,85.22,33.97,4.38,1.49,0.44,304.95,295.81,9,3,8.0,10,18,1
45.55,18.2,1.3,2.61,0.13,20.87,77.86,2.025561650505854,43.8,19.22,3.49,3.85,0.35,106.02,120.09,2,6,-2.0,6,33,3
39.73,28.76,3.11,0.7,0.3,4.65,5.08,0.500399840127872,39.71,28.26,5.17,3.63,0.52,309.68,318.18,3,0,4.0,10,25,1
52.7,26.22,7.31,0.86,0.74,2.51,350.63,2.7518175811634036,50.2,27.37,2.69,3.99,0.26,75.96,357.53,4,3,18.0,10,39,13
34.16,32.9,6.21,1.51,0.63,172.79,231.4,2.160833172644297,34.22,35.06,6.35,1.53,0.63,200.56,222.14,6,0,5.0,10,30,3
67.72,3.88,4.04,1.92,0.4,50.63,146.93,0.5575840743780249,67.25,4.18,6.21,2.44,0.6,142.61,141.32,0,0,11.0,4,31,0
55.33,41.4,5.36,1.01,0.53,35.96,15.66,2.0552615405344405,54.04,39.8,6.3,1.9,0.62,19.7,4.69,1,0,4.0,1,49,2
49.34,11.47,6.41,0.54,0.64,128.64,172.4,0.27459060435492,49.29,11.74,7.39,1.01,0.74,177.26,157.43,1,0,3.0,10,43,1
44.16,38.57,3.43,2.24,0.33,207.6,213.09,4.783387920710585,39.38,38.39,5.69,3.76,0.57,76.54,89.42,10,11,7.0,19,41,3
42.31,53.17,5.13,1.13,0.39,53.21,38.09,2.12058954067024,40.19,53.22,7.17,3.2,0.73,342.6,337.71,0,0,9.0,10,25,0
69.77,1.46,5.05,3.07,0.52,194.64,215.52,5.723495435483459,75.49,1.26,5.99,4.95,0.6,232.61,246.44,1,9,13.0,9,46,0
71.96,33.65,3.87,2.4,0.38,224.19,326.25,3.798855090681922,69.53,30.73,4.55,3.01,0.45,21.37,356.51,3,4,-6.0,6,44,7
91.74,4.34,5.57,1.36,0.58,271.3,173.45,1.0131633629380812,92.41,5.1,7.28,1.64,0.73,201.94,195.75,0,0,16.0,8,34,-1
25.0,7.01,8.62,3.47,0.87,174.99,200.22,1.1672617529928753,25.13,8.17,9.7,2.13,0.98,197.98,198.06,0,0,12.0,10,27,6
53.02,2.36,4.99,2.98,0.5,359.19,118.3,5.736654077073153,51.26,7.82,7.42,2.72,0.74,151.02,140.8,2,1,17.0,10,25,9
65.35,24.21,2.5,1.76,0.25,189.22,140.79,7.386941180217963,58.05,25.34,1.46,1.79,0.15,171.87,37.87,5,4,4.0,10,49,11
97.35,35.79,7.44,2.37,0.74,178.52,142.83,2.156710458081942,98.02,37.84,7.79,1.53,0.78,184.53,161.69,3,4,20.0,10,34,11
68.92,10.34,5.09,3.7,0.51,155.37,189.85,0.679558680321283,69.29,10.91,6.27,2.1,0.63,181.1,175.79,2,2,11.0,6,29,2
62.61,26.73,6.4,1.79,0.64,198.14,196.4,1.1078808600206067,62.04,27.68,6.92,2.14,0.69,185.24,176.85,5,2,6.0,12,40,3
44.56,2.01,6.63,2.34,0.67,204.0,171.63,1.8961276328348795,46.09,3.13,7.38,2.11,0.75,200.73,196.92,0,0,20.0,10,14,0
51.09,24.97,1.0,3.0,0.08,253.1,78.22,0.7479304780526072,50.72,24.32,4.96,2.31,0.49,0.11,15.94,4,2,6.0,10,34,1
69.31,50.64,8.88,0.99,0.89,57.72,52.77,1.034649699173589,68.75,49.77,9.35,2.31,0.95,14.66,48.27,0,0,19.0,3,41,2
66.3,18.77,6.16,2.07,0.61,236.3,212.92,0.7576938695805869,67.0,18.48,6.78,1.04,0.67,277.13,226.09,0,0,-5.0,10,38,-5
79.91,21.08,4.75,1.52,0.48,324.56,28.53,3.463437598687179,82.14,18.43,6.95,1.5,0.7,340.03,349.67,3,1,18.0,20,48,2
102.64,44.58,5.06,1.95,0.51,235.76,1.45,1.9909043171383196,104.5,43.87,7.52,3.82,0.76,333.13,329.2,2,0,16.0,5,23,-2
68.32,51.5,5.52,1.83,0.56,286.71,69.62,0.9948869282486422,69.09,50.87,6.59,2.49,0.67,352.71,75.42,1,0,40.0,10,20,0
75.72,32.35,6.0,3.99,0.6,232.15,8.57,1.7765415840897203,76.92,31.04,6.9,1.34,0.69,351.93,5.96,2,4,16.0,20,50,1
80.3,23.36,1.88,4.43,0.19,184.14,229.17,4.447392494484829,76.22,25.13,1.51,3.05,0.14,109.79,132.63,5,0,5.0,10,25,5
71.9,18.86,5.7,1.58,0.58,350.68,344.72,6.313834017457223,65.73,17.52,3.29,1.7,0.32,30.43,353.21,8,5,3.0,10,35,2
25.89,37.41,3.82,4.36,0.38,134.99,353.98,2.5700000000000007,28.44,37.73,6.72,3.27,0.68,222.7,302.47,1,0,-7.0,10,22,2
23.84,9.61,0.62,1.99,0.05,353.79,202.35,9.043190808558672,32.17,13.13,5.07,3.26,0.5,277.76,221.24,0,0,-3.0,15,17,7
61.61,4.31,5.16,1.85,0.57,30.81,172.88,1.484890568358493,60.16,4.63,5.88,4.57,0.58,121.45,164.71,0,0,2.0,10,46,0
47.87,16.61,6.12,1.05,0.62,347.53,324.79,0.8486459803710824,47.56,15.82,6.89,2.21,0.68,353.54,334.57,9,1,6.0,10,43,0
69.5,8.75,2.03,2.01,0.19,14.69,106.12,0.7592759709091236,68.76,8.58,3.5,1.37,0.33,19.73,100.17,6,11,14.0,20,25,1
19.62,46.25,6.13,4.9,0.61,322.45,349.08,1.1315917991926232,20.73,46.47,6.88,2.45,0.67,330.5,322.71,0,0,3.0,10,5,2
33.33,8.87,5.32,3.2,0.57,235.02,211.4,1.7713271860387676,35.09,9.07,7.14,2.28,0.72,320.57,236.73,0,7,3.0,10,20,0
94.24,22.59,8.89,1.77,0.9,149.69,166.53,1.6846661390316988,92.59,22.25,6.93,1.27,0.69,86.85,150.25,4,0,0.0,19,16,12
86.49,8.92,6.97,0.89,0.7,121.03,194.77,3.561179579858336,83.13,7.74,2.85,4.93,0.34,218.57,125.54,1,0,-1.0,10,25,8
65.93,15.6,8.31,2.43,0.84,146.89,188.55,2.9872562662081785,64.74,18.34,9.29,1.01,0.93,172.44,191.36,0,0,13.0,3,32,3
42.64,17.19,7.83,1.41,0.78,335.78,262.32,8.063361581871419,48.91,12.12,4.95,1.84,0.49,341.74,284.24,1,0,20.0,10,48,30
13.14,7.51,4.66,2.19,0.49,356.49,194.56,3.7214647653847277,9.51,8.33,6.92,2.47,0.69,127.89,154.52,0,0,-1.0,2,2,2
44.2,34.26,6.02,0.51,0.61,342.99,352.07,4.11329551576348,48.26,33.6,4.8,2.95,0.49,1.65,359.14,2,0,-3.0,13,37,27
48.98,31.16,1.29,1.93,0.12,22.09,12.67,4.256994244769424,47.32,27.24,5.79,0.36,0.58,354.14,20.69,3,11,9.0,7,29,1
46.41,13.01,6.9,0.6,0.69,205.71,167.7,6.51584223258974,50.6,18.0,7.79,1.24,0.78,183.39,184.58,1,0,2.0,9,34,5
77.09,38.6,6.02,1.5,0.6,91.43,4.53,3.7339523296367942,74.49,35.92,6.92,1.05,0.69,11.58,10.43,2,11,2.0,2,33,1
86.51,42.53,5.71,2.7,0.58,165.82,357.93,5.263705918837025,91.72,43.28,6.16,2.47,0.61,253.89,342.06,2,11,0.0,10,24,12
65.71,37.41,6.78,1.33,0.69,21.72,345.61,4.757141999141922,67.31,32.93,8.28,1.37,0.83,341.88,336.77,5,0,14.0,4,31,5
81.54,32.45,8.72,1.39,0.88,170.72,117.58,4.325112715294257,77.25,31.9,8.66,2.07,0.87,89.69,98.39,0,0,47.0,10,25,28
84.29,15.31,1.34,0.82,0.14,31.37,281.6,5.041358943776974,80.02,12.63,1.03,6.03,0.07,29.88,33.52,6,2,6.0,15,20,2
74.99,24.0,5.95,3.84,0.62,62.59,332.97,1.1638728452885225,74.24,23.11,7.98,0.74,0.8,5.97,4.06,3,0,4.0,4,31,1
75.22,17.73,5.48,3.87,0.56,306.4,201.44,6.520812832768628,71.55,23.12,3.82,2.25,0.38,309.92,180.18,3,11,-7.0,11,42,9
40.82,34.93,7.92,2.65,0.79,162.04,141.26,3.4899283660270157,43.68,36.93,6.54,3.55,0.63,173.22,165.63,3,11,10.0,10,20,16
53.79,14.43,4.42,3.0,0.46,38.74,167.4,3.0527528560301143,55.27,17.1,3.21,1.93,0.33,224.92,208.2,2,0,-5.0,6,50,26
58.19,23.52,3.86,4.32,0.43,55.27,354.67,1.3497407158413781,56.86,23.29,4.92,3.14,0.49,23.55,39.36,9,11,14.0,12,38,-1
35.3,23.32,4.64,0.53,0.46,351.92,36.27,4.554876507656385,39.68,22.07,5.85,3.75,0.57,289.01,308.48,8,0,1.0,10,25,0
50.87,30.56,6.84,1.0,0.68,180.5,190.97,3.4319819346843925,54.1,29.4,2.32,1.39,0.24,273.09,296.44,5,0,-2.0,8,45,8
80.39,38.44,7.75,1.13,0.78,27.81,10.64,6.751148050517037,84.97,33.48,8.73,2.01,0.88,353.23,10.62,0,0,17.0,10,47,14
97.63,35.32,3.13,3.2,0.31,268.85,329.34,4.562126697056969,93.2,36.41,4.77,1.06,0.48,75.03,56.46,4,0,-4.0,6,16,20
81.65,16.99,4.02,1.51,0.4,185.75,180.67,3.8637417097937585,77.79,16.82,6.44,1.58,0.65,105.98,112.28,2,11,-1.0,10,30,-1
36.18,8.13,8.44,1.68,0.87,196.12,192.17,1.8304371062672418,34.35,8.09,5.96,2.17,0.61,98.13,140.71,1,0,20.0,4,46,0
29.33,36.25,3.66,1.33,0.37,339.91,19.57,2.3551220775153054,31.62,35.7,3.89,0.63,0.41,300.11,15.36,4,0,-3.0,12,23,8
69.5,39.58,2.84,2.34,0.28,17.34,342.63,0.5920304046246261,69.97,39.22,4.71,3.18,0.49,20.62,29.52,1,0,6.0,9,35,0
77.68,52.39,0.98,5.06,0.12,321.42,350.36,5.468820713828534,72.34,51.21,5.97,2.85,0.61,91.78,65.74,0,0,-4.0,10,36,2
70.1,28.58,2.36,4.97,0.24,351.95,260.08,6.3547226532713355,63.77,29.14,3.63,3.43,0.38,101.74,112.73,7,2,6.0,12,34,3
37.41,5.2,7.92,1.96,0.8,325.33,256.69,2.315728826957081,39.42,6.35,9.21,0.87,0.93,260.29,255.68,0,0,30.0,6,40,14
42.53,19.16,1.67,2.23,0.2,293.76,133.3,2.211176157613862,43.71,17.29,4.76,2.15,0.47,344.28,335.01,3,5,1.0,7,31,2
80.7,9.03,3.53,2.35,0.34,73.53,109.97,15.004705928474575,87.76,22.27,7.22,0.54,0.72,159.96,148.25,2,1,21.0,10,49,30
78.41,33.54,4.28,3.14,0.45,216.47,194.73,0.38327535793473577,78.51,33.91,5.64,1.88,0.58,198.25,159.04,9,11,6.0,5,25,1
49.0,0.77,6.47,2.42,0.65,135.73,116.19,6.447945409198189,44.04,4.89,7.63,1.13,0.77,112.16,111.0,1,0,22.0,10,16,0
35.88,8.4,5.62,1.49,0.55,295.71,223.41,4.930608481719069,31.66,5.85,0.11,4.47,0.04,48.44,120.13,2,0,0.0,10,26,8
46.24,29.01,2.29,2.78,0.2,200.56,28.01,0.8609297300012377,45.5,28.57,3.34,4.08,0.36,356.59,341.33,3,0,11.0,10,25,0
28.76,21.51,4.33,3.48,0.44,348.98,19.04,0.3894868418830094,28.42,21.32,3.17,5.06,0.33,78.83,354.97,7,11,9.0,10,10,0
31.44,41.37,2.98,2.79,0.29,121.46,109.16,3.286533127780697,34.62,40.54,3.36,1.7,0.34,211.4,356.91,9,10,0.0,10,22,8
49.29,10.8,3.14,2.08,0.35,311.15,186.1,3.540310720826633,51.66,8.17,0.81,3.09,0.08,335.62,318.96,1,0,12.0,15,28,1
50.34,13.15,3.31,4.16,0.32,71.85,100.25,4.247469835090061,54.31,11.64,4.94,3.97,0.51,255.71,269.97,7,6,-4.0,10,44,6
35.12,30.43,3.61,4.01,0.37,297.54,55.19,1.4402777509911093,35.74,31.73,1.64,4.31,0.16,179.28,229.82,6,9,0.0,10,25,3
42.69,1.27,7.4,2.89,0.74,207.51,173.66,2.441986895951739,43.81,3.44,7.15,3.29,0.73,193.88,185.46,0,0,4.0,7,28,1
43.17,42.79,5.91,1.2,0.58,154.07,339.51,3.038157336281319,46.17,42.31,5.66,2.44,0.55,317.71,334.74,0,0,0.0,2,33,1
71.07,42.11,5.89,1.09,0.58,23.08,2.08,1.6101242188104594,70.37,40.66,7.17,2.12,0.71,9.19,7.62,2,0,2.0,10,36,1
67.21,16.26,4.03,0.88,0.4,329.45,240.63,2.36881827078397,65.54,17.94,5.49,1.82,0.55,168.43,159.11,5,3,2.0,7,39,7
51.33,22.28,6.71,2.72,0.67,14.58,359.87,2.8211522468665167,49.88,19.86,7.24,1.58,0.72,15.72,354.19,5,1,10.0,10,48,8
47.62,39.07,2.71,4.37,0.25,217.63,255.65,5.892266117547643,43.1,35.29,2.12,1.38,0.21,3.89,355.23,9,8,-4.0,10,34,4
95.77,3.45,6.45,0.57,0.65,77.65,101.69,1.2457929201917899,94.53,3.57,8.3,2.73,0.83,93.49,112.18,2,1,17.0,10,34,14
85.19,42.86,3.92,3.6,0.37,266.0,313.26,4.518074811244267,80.68,42.59,4.39,3.48,0.44,79.35,61.16,1,0,0.0,10,25,12
72.59,35.81,4.81,0.54,0.49,7.08,333.46,6.218850376074344,73.8,29.71,2.86,1.31,0.31,1.39,295.77,3,0,-2.0,9,38,9
58.63,49.76,6.15,4.19,0.63,337.74,345.36,1.522793485670326,59.18,48.34,7.51,2.75,0.75,338.32,345.29,1,0,5.0,2,45,5
53.5,40.08,4.59,2.35,0.46,358.56,352.34,7.845916135162291,52.1,32.36,3.04,1.54,0.29,335.36,312.87,0,0,-3.0,10,41,35
12.4,37.0,2.28,2.94,0.24,128.41,178.15,0.353553390593273,12.05,36.95,2.0,4.33,0.22,80.81,164.24,10,11,4.0,7,7,0
10.98,8.14,5.86,2.31,0.59,295.66,238.01,1.3497036711811976,10.29,9.3,7.76,3.2,0.79,211.88,182.53,0,0,-1.0,1,1,2
45.16,14.41,6.73,1.58,0.68,186.79,169.24,0.622012861603359,45.21,15.03,8.06,2.59,0.82,170.84,174.83,3,0,8.0,8,27,1
67.33,1.31,1.57,3.03,0.16,275.07,239.15,2.19184853491294,69.22,2.42,7.88,3.34,0.8,36.36,241.42,5,6,15.0,4,42,0
56.47,30.68,6.72,2.05,0.68,230.58,185.99,1.922342321232098,58.24,29.93,6.48,2.04,0.64,72.44,257.67,9,9,11.0,10,35,10
73.92,15.85,3.55,3.41,0.35,243.65,205.3,0.9552486587271377,74.86,16.02,5.56,2.37,0.56,247.51,240.05,0,0,4.0,6,40,1
29.81,30.61,1.04,1.08,0.1,223.25,246.6,0.39357337308308654,29.46,30.79,2.39,3.65,0.26,151.55,233.39,6,9,3.0,2,17,0
58.51,8.16,5.74,1.75,0.57,281.21,218.47,12.196237124621677,58.12,20.35,2.94,0.72,0.3,198.35,195.97,2,0,-3.0,10,46,14
33.81,2.98,5.96,1.84,0.6,125.46,187.57,2.5849177936638537,31.28,3.51,5.72,0.78,0.57,122.81,152.25,0,0,6.0,5,30,0
22.23,24.92,7.86,2.77,0.79,354.42,351.44,2.7598007174431998,20.85,22.53,8.18,1.71,0.82,0.6,356.79,4,0,15.0,14,28,9
39.1,48.75,4.35,3.0,0.43,103.94,320.25,2.620934947685651,41.72,48.82,4.82,2.39,0.49,262.03,292.32,0,0,7.0,12,23,0
43.94,25.37,4.53,2.0,0.45,22.59,47.66,1.5882380174268587,43.7,26.94,2.68,3.9,0.29,191.96,150.9,8,2,-3.0,10,36,5
44.01,27.81,4.35,1.97,0.45,170.01,153.85,5.413917250937624,48.97,25.64,4.52,1.83,0.44,264.73,267.41,5,2,3.0,16,30,5
15.5,15.9,6.36,1.4,0.64,173.94,153.92,9.843434360018865,25.34,15.64,5.68,1.96,0.56,254.33,221.98,3,3,-1.0,14,5,11
46.57,50.39,2.95,1.75,0.29,251.83,12.63,0.8544588931013627,45.87,49.9,3.92,3.09,0.38,53.16,38.53,0,0,6.0,8,43,0
39.32,52.01,3.54,1.25,0.35,257.97,6.85,0.7655063683601869,38.9,51.37,5.45,0.7,0.55,41.1,20.81,0,0,7.0,2,37,0
37.79,16.31,3.76,1.86,0.36,61.16,47.81,4.228593146662372,33.6,15.74,3.35,2.46,0.33,128.99,127.41,5,5,2.0,10,25,5
45.59,11.03,2.97,6.07,0.3,267.0,225.2,1.8445866745696708,46.59,9.48,5.37,0.67,0.54,293.4,303.76,1,0,4.0,3,32,0
69.82,29.36,2.96,5.16,0.31,206.87,144.65,1.926655132606777,71.26,30.64,4.99,4.78,0.52,43.78,199.03,4,3,22.0,8,38,0
69.33,49.87,3.29,2.02,0.32,60.58,44.23,0.9575489543621281,68.38,49.75,4.67,1.66,0.46,76.5,64.26,0,0,3.0,7,37,0
44.28,27.11,5.9,1.9,0.6,96.4,107.17,3.8049047294249054,47.81,28.53,0.68,5.99,0.1,235.98,336.91,6,3,2.0,10,30,16
91.03,27.37,7.64,2.15,0.77,191.13,163.67,1.4361058456812965,91.35,28.77,7.42,2.29,0.73,192.86,175.5,7,4,4.0,10,24,7
110.02,53.81,7.07,1.91,0.72,0.61,4.31,2.756174885597794,111.09,51.27,7.24,1.78,0.73,349.38,0.94,0,0,12.0,10,13,0
107.08,26.52,4.83,2.63,0.49,194.37,142.22,1.5815182578775389,107.92,25.18,3.11,2.58,0.33,245.91,205.67,5,3,0.0,3,3,1
50.92,13.02,1.54,5.32,0.14,47.18,109.98,6.046957912868254,56.96,12.73,2.89,3.39,0.29,269.44,244.2,6,4,1.0,10,40,8
64.25,22.67,2.05,2.78,0.21,114.04,93.29,1.57003184681076,65.34,23.8,5.52,1.33,0.55,52.85,234.99,0,0,5.0,1,49,6
67.97,6.69,2.94,1.61,0.29,71.74,121.64,5.343032846614368,73.31,6.51,3.64,3.33,0.37,268.36,248.14,3,4,-2.0,10,40,11
