receiverx,receivery,receivers,receivera,receiverdis,receivero,receiverdir,distance_to_nearest_def,defenderx,defendery,defenders,defendera,defenderdis,defendero,defenderdir,defenders_in_path,pass_length,yards_to_go,yardline_num,yards_gained
38.32,15.29,7.46,0.84,0.75,138.17,180.52,2.4664144015148772,35.88,15.65,8.7,2.21,0.87,134.86,157.83,2,2.0,10,30,0
50.65,42.15,6.98,3.17,0.7,232.78,329.95,9.729444999587589,52.51,32.6,3.43,1.99,0.35,56.74,123.82,3,-7.0,10,33,15
85.27,9.88,6.75,0.36,0.68,134.16,185.7,2.646998299961677,83.32,11.67,7.69,0.51,0.77,164.37,179.17,1,3.0,10,21,3
81.44,27.95,6.23,1.51,0.63,156.68,187.9,4.755680813511347,77.37,30.41,3.21,2.12,0.31,132.9,190.09,5,7.0,20,22,4
72.96,36.88,0.99,1.85,0.1,180.68,256.08,2.761340254296809,70.91,38.73,3.51,5.19,0.32,149.74,132.77,8,4.0,9,33,2
44.44,42.33,3.72,3.42,0.36,279.59,321.83,3.924742029739024,44.88,46.23,4.59,4.98,0.45,185.32,179.68,1,9.0,18,25,2
84.02,35.76,5.22,2.32,0.52,144.17,194.59,2.4285180666406383,81.86,36.87,5.78,3.97,0.57,154.02,170.48,9,8.0,10,18,1
45.04,17.84,1.84,0.94,0.19,14.74,52.44,3.105559530905827,42.91,20.1,2.82,2.8,0.28,124.4,160.02,7,-2.0,6,33,3
39.65,27.62,2.41,3.14,0.22,299.12,3.88,1.7626400653565084,41.3,27.0,4.85,4.6,0.47,292.72,297.06,3,4.0,10,25,1
53.4,22.65,7.15,1.45,0.72,15.89,347.19,4.663099827368056,50.74,26.48,2.54,5.36,0.28,148.37,290.45,6,18.0,10,39,13
35.14,33.7,6.49,0.61,0.65,176.06,229.93,2.2707928130941366,35.08,35.97,6.09,2.71,0.6,199.9,225.47,7,5.0,10,30,3
67.05,4.99,4.57,2.42,0.46,62.17,150.03,1.143372205364461,66.17,5.72,6.38,3.91,0.63,138.44,149.63,0,11.0,4,31,0
54.96,39.85,5.17,2.58,0.51,39.11,11.29,2.203837562072125,53.81,37.97,5.83,1.85,0.57,22.75,10.26,1,4.0,1,49,2
49.07,13.38,6.33,0.7,0.63,115.99,172.17,0.7545197147855028,48.45,13.81,7.42,2.47,0.73,163.67,158.8,1,3.0,10,43,1
44.66,39.32,2.51,1.97,0.25,191.08,213.6,7.072481884034766,37.68,38.18,5.75,1.98,0.57,66.93,76.76,11,7.0,19,41,3
41.01,51.68,5.47,1.82,0.56,192.57,37.2,1.3829316685939355,41.31,50.33,8.23,1.59,0.83,328.46,339.97,0,9.0,10,25,0
71.2,3.12,5.88,2.41,0.6,234.92,224.19,6.269968101992227,77.45,2.62,6.0,6.15,0.6,219.52,222.02,1,13.0,9,46,0
72.62,32.53,2.37,3.31,0.23,177.19,334.08,4.040853870161601,75.2,29.42,2.01,4.25,0.21,307.04,228.67,2,-6.0,6,44,7
91.49,6.01,5.59,1.93,0.57,277.73,168.96,1.9296113598338906,92.96,7.26,7.48,2.32,0.74,208.97,192.82,0,16.0,8,34,-1
25.99,10.44,9.23,1.52,0.93,151.54,192.64,1.513274595042156,26.19,11.94,9.71,1.4,0.97,180.92,192.89,1,12.0,10,27,6
51.81,3.19,4.86,2.64,0.49,336.64,131.81,6.675724679763241,49.98,9.61,7.12,1.85,0.71,156.13,149.29,1,17.0,10,25,9
64.81,24.72,2.4,2.3,0.25,203.89,123.8,6.955638000931334,57.86,25.0,1.12,1.55,0.11,195.91,352.82,6,4.0,10,49,11
95.39,37.99,7.29,4.3,0.73,183.3,131.89,3.09467284215957,96.92,40.68,7.32,3.75,0.73,184.75,154.21,3,20.0,10,34,11
112.58,50.59,4.67,2.84,0.48,202.6,28.07,0.9430270409696655,112.05,49.81,4.4,2.21,0.45,326.58,28.83,0,3.0,3,3,0
68.92,12.97,5.21,1.09,0.51,121.46,171.14,1.052330746486103,68.85,14.02,5.9,2.4,0.58,175.76,170.26,4,11.0,6,29,2
63.22,29.25,6.53,0.66,0.65,174.84,190.57,1.8252671037412573,61.72,30.29,5.99,3.5,0.58,170.92,170.08,7,6.0,12,40,3
44.09,4.78,7.36,2.38,0.75,233.29,169.05,3.064147516031168,46.86,6.09,7.67,2.11,0.76,208.32,192.14,0,20.0,10,14,0
50.83,25.09,1.18,2.49,0.13,273.87,200.11,2.6468282906150136,50.39,22.48,4.19,2.75,0.41,340.59,3.64,7,6.0,10,34,1
67.16,49.02,8.89,1.14,0.91,113.61,53.83,1.3067899601695763,66.62,47.83,9.8,0.92,0.98,18.68,47.09,1,19.0,3,41,2
67.41,20.8,5.22,2.45,0.52,259.64,201.56,1.4578408692309421,68.79,20.33,5.96,3.51,0.58,266.06,220.66,1,-5.0,10,38,-5
79.26,19.77,4.97,1.19,0.5,322.45,23.91,4.626640249684431,82.43,16.4,6.52,3.86,0.65,348.42,354.84,3,18.0,20,48,2
102.47,42.46,5.66,2.24,0.58,254.13,7.28,3.5584828227771474,105.75,41.08,7.61,3.58,0.76,318.17,344.5,2,16.0,5,23,-2
110.36,49.66,5.71,3.08,0.58,218.65,33.77,0.44911023145771084,110.45,49.22,6.22,3.42,0.63,339.96,25.88,0,9.0,9,9,0
66.11,50.73,5.87,1.53,0.59,250.45,72.13,0.604152298679726,66.36,50.18,7.5,2.31,0.76,38.16,75.83,2,40.0,10,20,0
75.17,29.74,7.42,3.43,0.75,237.61,15.62,1.9879889335708074,76.53,28.29,6.64,2.83,0.65,357.14,11.15,2,16.0,20,50,1
81.14,23.52,3.04,4.02,0.32,98.59,279.5,5.59113584166939,75.82,25.24,0.89,2.68,0.09,91.47,52.39,7,5.0,10,25,5
72.66,16.0,5.83,1.07,0.58,13.04,344.02,6.75239957348497,65.91,16.18,1.86,2.53,0.19,33.05,348.02,11,3.0,10,35,2
25.95,37.03,4.35,3.71,0.45,139.08,0.38,3.068892308309303,29.0,37.37,6.94,3.01,0.71,230.97,305.56,3,-7.0,10,22,2
23.85,9.66,0.78,1.41,0.07,352.15,229.1,9.458969288458443,32.49,13.51,4.92,3.82,0.49,267.39,217.23,0,-3.0,15,17,7
61.53,4.87,5.22,1.76,0.53,28.21,175.41,1.5358710883404245,60.03,5.2,5.63,4.34,0.55,120.14,170.28,0,2.0,10,46,0
69.32,8.8,1.8,2.42,0.15,12.91,106.67,0.8926925562588679,68.44,8.65,3.43,2.9,0.32,25.43,98.29,6,14.0,20,25,1
33.66,9.34,5.39,3.01,0.57,245.21,205.96,2.03482185952481,35.69,9.48,7.08,2.6,0.72,316.2,234.91,0,3.0,10,20,0
110.77,13.27,6.29,2.84,0.64,348.78,164.97,8.466906164591645,113.1,21.41,6.15,2.46,0.61,198.43,172.07,0,1.0,1,1,0
33.89,6.95,4.07,2.83,0.39,303.68,224.92,0.4119465984809162,34.3,6.99,5.39,1.87,0.53,234.07,242.42,1,10.0,19,13,0
46.33,16.31,7.64,1.22,0.76,243.85,169.31,0.4664761515876269,46.57,16.71,7.41,2.03,0.76,154.46,173.18,1,15.0,9,23,0
66.05,16.43,8.52,1.99,0.87,140.23,190.46,3.0342709173704283,64.93,19.25,9.22,1.43,0.93,175.01,191.41,0,13.0,3,32,3
43.42,17.29,7.85,1.29,0.79,347.23,263.47,7.976528066771907,49.39,12.0,4.74,1.88,0.48,341.74,282.18,1,20.0,10,48,30
13.26,7.99,4.75,2.51,0.49,1.66,194.54,4.154816482108445,9.22,8.96,7.07,2.17,0.7,127.89,158.1,0,-1.0,2,2,2
44.27,33.66,6.01,0.64,0.6,341.05,351.91,4.039009779636587,48.27,33.1,5.08,2.58,0.51,3.35,356.92,2,-3.0,13,37,27
48.94,31.04,1.14,2.55,0.13,18.48,20.41,4.4214251096224615,50.01,35.33,0.73,5.75,0.1,208.37,343.98,3,9.0,7,29,1
77.05,37.99,5.99,1.63,0.6,90.75,2.75,3.846894851695324,74.36,35.24,6.78,1.51,0.68,8.66,10.54,2,2.0,2,33,1
86.52,41.95,5.93,2.37,0.61,206.27,355.55,5.432025404947965,91.9,42.7,5.83,2.6,0.58,252.25,344.19,1,0.0,10,24,12
65.88,36.74,6.79,1.37,0.69,26.25,346.42,4.906526266107221,67.64,32.16,8.07,1.11,0.81,346.15,338.49,5,14.0,4,31,5
80.77,32.86,8.78,1.19,0.88,167.07,118.3,4.4598206241955465,76.39,32.02,8.53,2.22,0.86,91.39,96.66,0,47.0,10,25,28
84.43,15.28,1.37,0.88,0.14,33.17,276.24,5.19839398276045,80.0,12.56,0.4,6.2,0.05,25.97,350.5,6,6.0,15,20,2
75.4,18.26,5.68,3.18,0.55,318.02,196.92,6.508240929775109,71.54,23.5,3.53,2.33,0.35,331.85,176.89,2,-7.0,11,42,9
40.32,35.54,7.9,2.79,0.79,159.55,139.07,3.765116200066073,43.51,37.54,6.13,3.83,0.59,170.49,162.48,4,10.0,10,20,16
53.67,14.87,4.31,2.06,0.43,49.14,174.82,3.0655668317621116,55.43,17.38,3.26,1.85,0.34,221.82,212.45,2,-5.0,6,50,26
58.22,23.09,4.17,4.36,0.43,52.03,350.02,1.6708381130438668,56.56,22.9,5.13,3.45,0.52,22.87,36.51,9,14.0,12,38,-1
51.14,31.89,6.46,1.67,0.65,188.64,192.8,2.9474226028854424,54.07,32.21,2.92,1.71,0.29,268.72,336.77,6,-2.0,8,45,8
79.99,36.13,7.71,1.81,0.79,351.96,8.24,6.811754546370566,84.39,30.93,8.56,2.84,0.86,356.43,15.79,0,17.0,10,47,14
97.98,34.18,2.88,0.31,0.29,163.39,3.36,5.335260068637701,101.61,30.27,1.6,1.9,0.17,162.79,248.3,2,-4.0,6,16,20
81.65,18.43,3.1,1.33,0.3,120.17,178.85,6.332219200248842,75.36,17.7,6.3,1.77,0.63,108.66,106.46,3,-1.0,10,30,-1
36.95,11.51,8.64,1.01,0.87,167.83,193.76,2.3537204591879646,39.09,12.49,8.76,1.16,0.88,264.48,253.12,1,20.0,4,46,0
28.92,34.8,3.7,0.82,0.37,289.13,8.98,2.330772404161331,31.18,34.23,3.2,0.82,0.34,302.85,20.54,2,-3.0,12,23,8
70.33,38.34,2.17,2.14,0.22,77.8,297.95,2.8165581833152293,68.26,36.43,5.69,2.21,0.56,37.32,33.6,5,6.0,9,35,0
77.24,51.06,3.38,1.28,0.34,79.35,25.76,8.586139994199948,68.81,49.43,6.79,0.92,0.67,84.89,62.12,0,-4.0,10,36,2
71.12,29.46,3.3,2.38,0.34,76.3,211.25,7.701876394749517,78.82,29.63,2.94,1.12,0.3,147.39,341.31,6,6.0,12,34,3
39.79,5.74,8.25,1.59,0.83,346.82,257.71,2.6457891072419226,42.1,7.03,9.03,0.42,0.9,262.63,256.38,0,30.0,6,40,14
42.1,19.46,0.78,0.35,0.08,303.78,82.34,4.129721540249415,44.21,23.01,3.56,5.11,0.33,202.66,200.78,7,1.0,7,31,2
79.85,9.41,2.67,1.67,0.26,8.57,123.76,16.174949768082747,86.62,24.1,7.08,0.75,0.71,157.64,148.14,1,21.0,10,49,30
78.91,35.42,5.81,1.66,0.58,160.35,194.96,1.3462912017836166,77.76,36.12,6.1,1.98,0.61,168.22,165.02,9,6.0,5,25,1
46.1,2.51,7.1,2.17,0.72,96.98,124.86,6.8014410237831235,40.5,6.37,7.55,1.55,0.76,120.87,114.88,1,22.0,10,16,0
37.28,9.96,4.89,1.81,0.49,314.34,218.1,7.159064184654307,31.27,6.07,2.29,4.09,0.24,106.15,122.96,2,0.0,10,26,8
8.22,37.44,7.35,2.06,0.74,335.09,296.39,3.0492622058458667,11.04,38.6,7.81,2.03,0.78,283.23,273.65,0,18.0,2,18,0
45.88,28.0,3.31,0.88,0.33,221.88,11.13,0.9002777349240607,46.07,27.12,4.18,2.16,0.41,334.28,335.27,3,11.0,10,25,0
27.98,19.04,5.8,0.61,0.59,340.45,16.0,0.7000714249274834,28.63,18.78,5.94,6.77,0.62,268.09,355.13,10,9.0,10,10,0
30.59,41.82,1.75,3.01,0.18,167.31,137.39,4.964846422599596,34.75,39.11,3.87,0.64,0.39,273.38,353.06,11,0.0,10,22,8
49.6,11.98,2.77,1.39,0.27,302.12,204.47,4.700904168348894,51.63,7.74,2.75,4.16,0.26,323.61,38.19,1,12.0,15,28,1
49.39,13.61,2.23,4.27,0.22,11.64,144.56,7.160342170594921,56.36,11.97,5.62,1.52,0.56,252.34,250.08,3,-4.0,10,44,6
34.55,29.94,4.08,2.92,0.41,314.84,42.01,2.442642012248215,36.06,31.86,2.08,4.39,0.2,234.09,261.45,7,0.0,10,25,3
42.59,3.52,7.59,1.91,0.76,234.23,181.03,2.64697941057349,44.12,5.68,7.8,1.14,0.78,201.39,190.49,0,4.0,7,28,1
43.6,41.73,5.52,1.95,0.54,120.89,337.03,3.074833328816373,46.65,41.34,4.97,2.57,0.49,311.7,333.41,0,0.0,2,33,1
70.97,40.41,5.34,1.53,0.53,62.11,4.31,1.95432852918848,70.1,38.66,5.94,3.15,0.58,13.32,7.52,2,2.0,10,36,1
68.63,16.97,3.73,0.5,0.37,22.77,246.72,4.980361432667309,64.61,19.91,5.1,3.46,0.5,128.65,149.66,5,2.0,7,39,7
51.48,20.29,6.48,3.8,0.65,31.67,350.25,2.822941728056034,50.15,17.8,6.47,1.56,0.64,16.58,350.81,6,10.0,10,48,8
48.39,39.02,1.55,3.63,0.15,195.32,307.24,6.82719561752848,43.3,34.47,1.91,0.81,0.19,17.28,331.81,6,-4.0,10,34,4
91.98,4.13,6.31,0.79,0.64,35.09,98.52,2.4271176320895576,90.33,5.91,7.63,2.18,0.77,123.33,127.85,2,17.0,10,34,14
86.19,42.11,2.26,3.62,0.21,216.09,296.25,7.231998340707778,78.96,41.94,4.79,1.52,0.47,95.61,77.89,3,0.0,10,25,12
73.68,33.77,4.41,0.28,0.44,56.3,327.74,4.710201694195271,74.86,29.21,1.0,1.71,0.11,27.95,293.81,4,-2.0,9,38,9
58.94,47.85,6.84,1.04,0.69,41.21,355.55,1.862525167615198,59.63,46.12,7.47,0.15,0.75,336.8,353.86,1,5.0,2,45,5
53.52,38.27,4.37,0.76,0.44,78.37,7.2,6.632917909939789,52.86,31.67,1.88,4.4,0.15,355.89,315.31,0,-3.0,10,41,35
12.34,37.81,3.29,1.79,0.34,128.55,172.95,0.5099019513592787,11.84,37.71,3.55,1.54,0.35,91.6,165.2,9,4.0,7,7,0
11.99,8.81,6.36,2.29,0.64,295.66,238.43,2.651886121235223,10.32,10.87,8.16,1.78,0.81,192.39,177.09,1,-1.0,1,1,2
44.55,17.86,7.04,1.04,0.71,209.5,173.34,1.3974262055650737,44.77,19.24,8.51,0.69,0.84,187.44,173.95,4,8.0,8,27,1
67.61,1.44,1.42,1.17,0.15,289.07,287.79,3.5400564967243127,70.67,3.22,8.68,1.78,0.87,49.15,241.22,9,15.0,4,42,0
56.59,32.72,6.81,3.74,0.68,231.54,179.56,4.229089736574523,60.03,30.26,5.51,4.43,0.52,92.68,262.63,10,11.0,10,35,10
74.06,16.16,3.19,3.37,0.31,252.8,199.87,1.2865846260545797,75.34,16.29,5.57,2.4,0.55,251.79,243.21,0,4.0,6,40,1
30.13,30.73,0.55,2.41,0.06,231.15,263.15,0.9139474820797978,30.41,31.6,4.16,2.7,0.41,204.36,227.63,5,3.0,2,17,0
59.49,9.54,5.44,1.52,0.54,299.08,211.12,11.73647732498981,58.34,21.22,2.65,0.58,0.27,201.57,189.46,1,-3.0,10,46,14
33.99,4.8,6.13,1.5,0.62,98.41,181.85,3.465775526487543,30.53,5.0,5.22,3.72,0.51,94.43,154.78,0,6.0,5,30,0
22.45,21.0,7.78,0.83,0.78,34.94,0.42,2.9904013108611354,20.84,18.48,7.87,0.84,0.78,24.61,3.57,6,15.0,14,28,9
8.61,44.81,7.71,0.82,0.78,81.27,1.03,1.3261975720080317,9.13,43.59,8.31,0.89,0.82,354.87,4.96,0,2.0,2,2,0
40.04,47.87,4.26,1.15,0.42,84.36,305.8,3.1522848856028207,43.16,48.32,5.26,1.07,0.52,257.3,287.49,0,7.0,12,23,0
43.61,25.05,4.64,1.51,0.46,23.95,44.07,2.1311499243366234,43.54,27.18,2.36,3.54,0.25,199.12,166.78,8,-3.0,10,36,5
43.46,29.07,4.8,1.37,0.48,210.88,157.81,7.0472264047637925,36.93,31.72,0.4,0.52,0.04,169.28,7.26,5,3.0,16,30,5
14.28,18.76,5.97,1.66,0.6,251.7,158.14,8.974725622546906,7.57,24.72,1.59,3.73,0.14,110.66,138.72,3,-1.0,14,5,11
46.46,49.85,2.44,2.64,0.24,279.26,13.05,1.1360017605620156,45.45,49.33,3.13,5.17,0.29,58.02,36.0,0,6.0,8,43,0
39.13,50.17,3.68,2.45,0.36,281.09,5.92,1.7259490143106773,38.03,48.84,4.78,5.16,0.46,34.46,13.4,0,7.0,2,37,0
36.11,15.18,3.31,2.49,0.34,10.93,72.18,4.162030754331351,32.46,17.18,2.87,0.31,0.29,255.62,151.73,7,2.0,10,25,5
45.96,11.57,3.85,4.5,0.39,259.94,200.38,3.0859844458454426,47.49,8.89,5.3,1.32,0.52,300.37,302.03,1,4.0,3,32,0
69.64,29.62,3.61,4.95,0.36,205.05,141.88,2.340683660813653,71.42,31.14,5.49,4.19,0.56,41.68,196.43,4,22.0,8,38,0
69.09,49.65,3.19,2.12,0.31,84.74,47.97,1.1244554237496525,67.97,49.55,4.52,3.03,0.44,84.25,65.88,0,3.0,7,37,0
41.74,28.17,5.21,1.16,0.52,157.1,119.9,4.034414455655249,37.87,27.03,2.01,1.38,0.2,190.93,118.9,6,2.0,10,30,16
90.65,28.87,7.76,0.44,0.77,200.84,167.36,1.4849915824677258,91.29,30.21,6.98,2.22,0.69,200.44,179.14,7,4.0,10,24,7
109.86,51.62,7.48,1.14,0.75,342.32,4.33,2.8502982300103223,111.05,49.03,7.56,0.35,0.75,348.28,1.87,0,12.0,10,13,0
106.51,27.33,5.17,2.7,0.52,191.63,147.82,2.1272047386182678,104.56,28.18,4.57,3.72,0.47,150.11,182.62,6,0.0,3,3,1
51.28,15.03,4.19,2.07,0.43,280.79,199.04,7.187224777339305,47.99,21.42,2.95,1.21,0.3,351.14,65.33,1,1.0,10,40,8
63.52,22.56,1.28,2.82,0.14,338.74,67.13,5.019581655875315,67.61,25.47,5.32,4.12,0.52,71.72,229.38,6,5.0,1,49,6
67.28,7.22,2.91,1.29,0.3,46.37,133.16,7.204692915038089,74.48,6.96,4.69,1.26,0.47,267.42,249.96,3,-2.0,10,40,11
87.1,15.25,6.51,0.42,0.66,334.63,33.37,1.9382982226685368,87.89,13.48,6.66,2.14,0.67,23.55,22.62,6,8.0,1,31,6
40.28,12.45,5.68,1.09,0.57,228.75,177.13,2.611378946074274,42.05,14.37,7.21,1.77,0.71,206.04,187.77,1,3.0,8,27,2
71.35,24.65,4.93,1.38,0.49,103.29,238.18,5.857303133695582,77.17,25.31,2.04,0.15,0.2,129.6,19.53,5,3.0,11,36,11
55.77,6.69,4.46,2.0,0.45,0.44,192.75,5.453888521046246,51.17,9.62,6.44,1.11,0.65,133.92,156.84,0,4.0,10,50,6
