receiverx,receivery,receivers,receivera,receiverdis,receivero,receiverdir,distance_to_nearest_def,defenders_in_path,pass_length,yards_to_go,yardline_num,yards_gained
74.75,35.65,0.43,2.08,0.04,161.28,135.78,5.282281703960891,7,3.0,10,32,4
67.61,6.53,6.79,1.0,0.69,82.26,178.98,2.931279584072456,0,3.0,3,39,1
51.6,18.28,5.27,1.57,0.53,240.69,180.48,2.105825253908786,2,1.0,10,41,0
108.22,7.97,6.38,3.2,0.65,289.55,88.12,1.8726718879718405,0,52.0,4,47,1
97.07,15.92,7.2,2.66,0.72,276.9,196.13,8.11036990525093,1,-5.0,15,19,10
80.39,33.52,3.94,1.77,0.39,75.27,359.39,6.753702688155582,2,6.0,10,24,3
71.13,13.83,0.42,1.23,0.03,34.07,86.67,2.5433245958783868,1,5.0,10,34,1
68.29,43.83,5.93,1.49,0.61,85.43,347.4,4.029714630094799,0,2.0,4,40,3
72.18,29.92,1.77,2.08,0.19,172.16,259.16,4.002811511925089,7,4.0,10,34,2
64.0,47.24,2.21,2.0,0.22,126.03,20.22,4.847927392195553,0,6.0,4,40,-1
62.14,29.99,5.4,2.85,0.54,167.73,210.91,5.071193153489624,5,4.0,10,45,7
49.53,31.83,1.71,2.69,0.16,116.56,346.75,3.006210238822295,2,4.0,10,44,0
50.45,10.64,3.87,2.6,0.38,8.38,14.49,2.6021913841990956,9,-1.0,6,40,29
53.07,26.75,4.37,0.69,0.44,334.58,42.98,5.94428296769257,6,1.0,4,42,4
66.26,21.44,8.09,1.29,0.81,206.82,176.12,6.725213751249842,4,8.0,8,49,3
29.16,36.57,1.47,3.34,0.14,150.08,10.66,8.346406412342978,2,-2.0,10,21,7
86.08,39.48,0.55,0.8,0.06,234.33,78.61,2.551548549410727,0,-4.0,5,28,8
54.07,15.35,6.33,2.43,0.63,334.7,5.24,2.2033610689126744,5,19.0,10,25,3
38.32,15.29,7.46,0.84,0.75,138.17,180.52,2.4664144015148772,2,2.0,10,30,0
50.65,42.15,6.98,3.17,0.7,232.78,329.95,9.729444999587589,3,-7.0,10,33,15
85.27,9.88,6.75,0.36,0.68,134.16,185.7,2.646998299961677,1,3.0,10,21,3
81.44,27.95,6.23,1.51,0.63,156.68,187.9,4.755680813511347,5,7.0,20,22,4
72.96,36.88,0.99,1.85,0.1,180.68,256.08,2.761340254296809,8,4.0,9,33,2
44.44,42.33,3.72,3.42,0.36,279.59,321.83,3.924742029739024,1,9.0,18,25,2
84.02,35.76,5.22,2.32,0.52,144.17,194.59,2.4285180666406383,9,8.0,10,18,1
45.04,17.84,1.84,0.94,0.19,14.74,52.44,3.105559530905827,7,-2.0,6,33,3
39.65,27.62,2.41,3.14,0.22,299.12,3.88,1.7626400653565084,3,4.0,10,25,1
53.4,22.65,7.15,1.45,0.72,15.89,347.19,4.663099827368056,6,18.0,10,39,13
35.14,33.7,6.49,0.61,0.65,176.06,229.93,2.2707928130941366,7,5.0,10,30,3
67.05,4.99,4.57,2.42,0.46,62.17,150.03,1.143372205364461,0,11.0,4,31,0
54.96,39.85,5.17,2.58,0.51,39.11,11.29,2.203837562072125,1,4.0,1,49,2
49.07,13.38,6.33,0.7,0.63,115.99,172.17,0.7545197147855028,1,3.0,10,43,1
44.66,39.32,2.51,1.97,0.25,191.08,213.6,7.072481884034766,11,7.0,19,41,3
41.01,51.68,5.47,1.82,0.56,192.57,37.2,1.3829316685939355,0,9.0,10,25,0
71.2,3.12,5.88,2.41,0.6,234.92,224.19,6.269968101992227,1,13.0,9,46,0
72.62,32.53,2.37,3.31,0.23,177.19,334.08,4.040853870161601,2,-6.0,6,44,7
91.49,6.01,5.59,1.93,0.57,277.73,168.96,1.9296113598338906,0,16.0,8,34,-1
25.99,10.44,9.23,1.52,0.93,151.54,192.64,1.513274595042156,1,12.0,10,27,6
51.81,3.19,4.86,2.64,0.49,336.64,131.81,6.675724679763241,1,17.0,10,25,9
64.81,24.72,2.4,2.3,0.25,203.89,123.8,6.955638000931334,6,4.0,10,49,11
95.39,37.99,7.29,4.3,0.73,183.3,131.89,3.09467284215957,3,20.0,10,34,11
112.58,50.59,4.67,2.84,0.48,202.6,28.07,0.9430270409696655,0,3.0,3,3,0
68.92,12.97,5.21,1.09,0.51,121.46,171.14,1.052330746486103,4,11.0,6,29,2
63.22,29.25,6.53,0.66,0.65,174.84,190.57,1.8252671037412573,7,6.0,12,40,3
44.09,4.78,7.36,2.38,0.75,233.29,169.05,3.064147516031168,0,20.0,10,14,0
50.83,25.09,1.18,2.49,0.13,273.87,200.11,2.6468282906150136,7,6.0,10,34,1
67.16,49.02,8.89,1.14,0.91,113.61,53.83,1.3067899601695763,1,19.0,3,41,2
67.41,20.8,5.22,2.45,0.52,259.64,201.56,1.4578408692309421,1,-5.0,10,38,-5
79.26,19.77,4.97,1.19,0.5,322.45,23.91,4.626640249684431,3,18.0,20,48,2
102.47,42.46,5.66,2.24,0.58,254.13,7.28,3.5584828227771474,2,16.0,5,23,-2
110.36,49.66,5.71,3.08,0.58,218.65,33.77,0.44911023145771084,0,9.0,9,9,0
66.11,50.73,5.87,1.53,0.59,250.45,72.13,0.604152298679726,2,40.0,10,20,0
75.17,29.74,7.42,3.43,0.75,237.61,15.62,1.9879889335708074,2,16.0,20,50,1
81.14,23.52,3.04,4.02,0.32,98.59,279.5,5.59113584166939,7,5.0,10,25,5
72.66,16.0,5.83,1.07,0.58,13.04,344.02,6.75239957348497,11,3.0,10,35,2
25.95,37.03,4.35,3.71,0.45,139.08,0.38,3.068892308309303,3,-7.0,10,22,2
23.85,9.66,0.78,1.41,0.07,352.15,229.1,9.458969288458443,0,-3.0,15,17,7
61.53,4.87,5.22,1.76,0.53,28.21,175.41,1.5358710883404245,0,2.0,10,46,0
69.32,8.8,1.8,2.42,0.15,12.91,106.67,0.8926925562588679,6,14.0,20,25,1
33.66,9.34,5.39,3.01,0.57,245.21,205.96,2.03482185952481,0,3.0,10,20,0
110.77,13.27,6.29,2.84,0.64,348.78,164.97,8.466906164591645,0,1.0,1,1,0
33.89,6.95,4.07,2.83,0.39,303.68,224.92,0.4119465984809162,1,10.0,19,13,0
46.33,16.31,7.64,1.22,0.76,243.85,169.31,0.4664761515876269,1,15.0,9,23,0
66.05,16.43,8.52,1.99,0.87,140.23,190.46,3.0342709173704283,0,13.0,3,32,3
43.42,17.29,7.85,1.29,0.79,347.23,263.47,7.976528066771907,1,20.0,10,48,30
13.26,7.99,4.75,2.51,0.49,1.66,194.54,4.154816482108445,0,-1.0,2,2,2
44.27,33.66,6.01,0.64,0.6,341.05,351.91,4.039009779636587,2,-3.0,13,37,27
48.94,31.04,1.14,2.55,0.13,18.48,20.41,4.4214251096224615,3,9.0,7,29,1
77.05,37.99,5.99,1.63,0.6,90.75,2.75,3.846894851695324,2,2.0,2,33,1
86.52,41.95,5.93,2.37,0.61,206.27,355.55,5.432025404947965,1,0.0,10,24,12
65.88,36.74,6.79,1.37,0.69,26.25,346.42,4.906526266107221,5,14.0,4,31,5
80.77,32.86,8.78,1.19,0.88,167.07,118.3,4.4598206241955465,0,47.0,10,25,28
84.43,15.28,1.37,0.88,0.14,33.17,276.24,5.19839398276045,6,6.0,15,20,2
75.4,18.26,5.68,3.18,0.55,318.02,196.92,6.508240929775109,2,-7.0,11,42,9
40.32,35.54,7.9,2.79,0.79,159.55,139.07,3.765116200066073,4,10.0,10,20,16
53.67,14.87,4.31,2.06,0.43,49.14,174.82,3.0655668317621116,2,-5.0,6,50,26
58.22,23.09,4.17,4.36,0.43,52.03,350.02,1.6708381130438668,9,14.0,12,38,-1
51.14,31.89,6.46,1.67,0.65,188.64,192.8,2.9474226028854424,6,-2.0,8,45,8
79.99,36.13,7.71,1.81,0.79,351.96,8.24,6.811754546370566,0,17.0,10,47,14
97.98,34.18,2.88,0.31,0.29,163.39,3.36,5.335260068637701,2,-4.0,6,16,20
81.65,18.43,3.1,1.33,0.3,120.17,178.85,6.332219200248842,3,-1.0,10,30,-1
36.95,11.51,8.64,1.01,0.87,167.83,193.76,2.3537204591879646,1,20.0,4,46,0
28.92,34.8,3.7,0.82,0.37,289.13,8.98,2.330772404161331,2,-3.0,12,23,8
70.33,38.34,2.17,2.14,0.22,77.8,297.95,2.8165581833152293,5,6.0,9,35,0
77.24,51.06,3.38,1.28,0.34,79.35,25.76,8.586139994199948,0,-4.0,10,36,2
71.12,29.46,3.3,2.38,0.34,76.3,211.25,7.701876394749517,6,6.0,12,34,3
39.79,5.74,8.25,1.59,0.83,346.82,257.71,2.6457891072419226,0,30.0,6,40,14
42.1,19.46,0.78,0.35,0.08,303.78,82.34,4.129721540249415,7,1.0,7,31,2
79.85,9.41,2.67,1.67,0.26,8.57,123.76,16.174949768082747,1,21.0,10,49,30
78.91,35.42,5.81,1.66,0.58,160.35,194.96,1.3462912017836166,9,6.0,5,25,1
46.1,2.51,7.1,2.17,0.72,96.98,124.86,6.8014410237831235,1,22.0,10,16,0
37.28,9.96,4.89,1.81,0.49,314.34,218.1,7.159064184654307,2,0.0,10,26,8
8.22,37.44,7.35,2.06,0.74,335.09,296.39,3.0492622058458667,0,18.0,2,18,0
45.88,28.0,3.31,0.88,0.33,221.88,11.13,0.9002777349240607,3,11.0,10,25,0
27.98,19.04,5.8,0.61,0.59,340.45,16.0,0.7000714249274834,10,9.0,10,10,0
30.59,41.82,1.75,3.01,0.18,167.31,137.39,4.964846422599596,11,0.0,10,22,8
49.6,11.98,2.77,1.39,0.27,302.12,204.47,4.700904168348894,1,12.0,15,28,1
49.39,13.61,2.23,4.27,0.22,11.64,144.56,7.160342170594921,3,-4.0,10,44,6
34.55,29.94,4.08,2.92,0.41,314.84,42.01,2.442642012248215,7,0.0,10,25,3
42.59,3.52,7.59,1.91,0.76,234.23,181.03,2.64697941057349,0,4.0,7,28,1
43.6,41.73,5.52,1.95,0.54,120.89,337.03,3.074833328816373,0,0.0,2,33,1
70.97,40.41,5.34,1.53,0.53,62.11,4.31,1.95432852918848,2,2.0,10,36,1
68.63,16.97,3.73,0.5,0.37,22.77,246.72,4.980361432667309,5,2.0,7,39,7
51.48,20.29,6.48,3.8,0.65,31.67,350.25,2.822941728056034,6,10.0,10,48,8
48.39,39.02,1.55,3.63,0.15,195.32,307.24,6.82719561752848,6,-4.0,10,34,4
91.98,4.13,6.31,0.79,0.64,35.09,98.52,2.4271176320895576,2,17.0,10,34,14
86.19,42.11,2.26,3.62,0.21,216.09,296.25,7.231998340707778,3,0.0,10,25,12
73.68,33.77,4.41,0.28,0.44,56.3,327.74,4.710201694195271,4,-2.0,9,38,9
58.94,47.85,6.84,1.04,0.69,41.21,355.55,1.862525167615198,1,5.0,2,45,5
53.52,38.27,4.37,0.76,0.44,78.37,7.2,6.632917909939789,0,-3.0,10,41,35
12.34,37.81,3.29,1.79,0.34,128.55,172.95,0.5099019513592787,9,4.0,7,7,0
11.99,8.81,6.36,2.29,0.64,295.66,238.43,2.651886121235223,1,-1.0,1,1,2
44.55,17.86,7.04,1.04,0.71,209.5,173.34,1.3974262055650737,4,8.0,8,27,1
67.61,1.44,1.42,1.17,0.15,289.07,287.79,3.5400564967243127,9,15.0,4,42,0
56.59,32.72,6.81,3.74,0.68,231.54,179.56,4.229089736574523,10,11.0,10,35,10
74.06,16.16,3.19,3.37,0.31,252.8,199.87,1.2865846260545797,0,4.0,6,40,1
30.13,30.73,0.55,2.41,0.06,231.15,263.15,0.9139474820797978,5,3.0,2,17,0
59.49,9.54,5.44,1.52,0.54,299.08,211.12,11.73647732498981,1,-3.0,10,46,14
33.99,4.8,6.13,1.5,0.62,98.41,181.85,3.465775526487543,0,6.0,5,30,0
22.45,21.0,7.78,0.83,0.78,34.94,0.42,2.9904013108611354,6,15.0,14,28,9
8.61,44.81,7.71,0.82,0.78,81.27,1.03,1.3261975720080317,0,2.0,2,2,0
40.04,47.87,4.26,1.15,0.42,84.36,305.8,3.1522848856028207,0,7.0,12,23,0
43.61,25.05,4.64,1.51,0.46,23.95,44.07,2.1311499243366234,8,-3.0,10,36,5
43.46,29.07,4.8,1.37,0.48,210.88,157.81,7.0472264047637925,5,3.0,16,30,5
14.28,18.76,5.97,1.66,0.6,251.7,158.14,8.974725622546906,3,-1.0,14,5,11
46.46,49.85,2.44,2.64,0.24,279.26,13.05,1.1360017605620156,0,6.0,8,43,0
39.13,50.17,3.68,2.45,0.36,281.09,5.92,1.7259490143106773,0,7.0,2,37,0
36.11,15.18,3.31,2.49,0.34,10.93,72.18,4.162030754331351,7,2.0,10,25,5
45.96,11.57,3.85,4.5,0.39,259.94,200.38,3.0859844458454426,1,4.0,3,32,0
69.64,29.62,3.61,4.95,0.36,205.05,141.88,2.340683660813653,4,22.0,8,38,0
69.09,49.65,3.19,2.12,0.31,84.74,47.97,1.1244554237496525,0,3.0,7,37,0
41.74,28.17,5.21,1.16,0.52,157.1,119.9,4.034414455655249,6,2.0,10,30,16
90.65,28.87,7.76,0.44,0.77,200.84,167.36,1.4849915824677258,7,4.0,10,24,7
109.86,51.62,7.48,1.14,0.75,342.32,4.33,2.8502982300103223,0,12.0,10,13,0
106.51,27.33,5.17,2.7,0.52,191.63,147.82,2.1272047386182678,6,0.0,3,3,1
51.28,15.03,4.19,2.07,0.43,280.79,199.04,7.187224777339305,1,1.0,10,40,8
63.52,22.56,1.28,2.82,0.14,338.74,67.13,5.019581655875315,6,5.0,1,49,6
67.28,7.22,2.91,1.29,0.3,46.37,133.16,7.204692915038089,3,-2.0,10,40,11
87.1,15.25,6.51,0.42,0.66,334.63,33.37,1.9382982226685368,6,8.0,1,31,6
40.28,12.45,5.68,1.09,0.57,228.75,177.13,2.611378946074274,1,3.0,8,27,2
71.35,24.65,4.93,1.38,0.49,103.29,238.18,5.857303133695582,5,3.0,11,36,11
55.77,6.69,4.46,2.0,0.45,0.44,192.75,5.453888521046246,0,4.0,10,50,6
24.2,51.98,4.31,1.01,0.44,69.4,324.17,6.3419870703116334,0,18.0,3,33,2
21.03,38.14,7.19,1.33,0.73,73.58,3.72,1.5875137794677585,0,2.0,10,13,0
70.14,45.6,6.98,1.41,0.7,239.67,359.4,6.867321166219043,0,3.0,10,43,3
75.04,40.64,4.61,4.41,0.44,127.96,342.38,1.582561215245715,0,2.0,4,37,-2
54.58,43.58,4.64,1.24,0.47,148.57,342.99,7.670026075574973,2,0.0,10,44,6
41.03,46.9,3.9,3.65,0.38,95.19,327.72,1.9643064933965886,0,10.0,10,20,-1
58.38,30.4,6.26,1.26,0.62,5.16,14.18,2.4063457773146393,7,20.0,1,29,6
70.15,35.27,5.23,2.93,0.52,225.59,151.11,3.870142116253613,5,7.0,10,45,3
91.18,14.41,7.14,2.12,0.72,284.46,203.84,5.5751681588988875,2,-6.0,10,25,5
17.78,5.43,7.44,1.43,0.75,119.99,188.2,2.5753058070838892,0,6.0,9,14,3
70.85,35.57,0.69,3.07,0.07,195.82,353.94,3.9510251834175785,1,-2.0,10,41,0
22.53,30.57,5.36,3.36,0.54,176.31,161.89,2.3584740829612687,5,0.0,15,13,10
43.28,34.11,7.06,1.5,0.71,197.77,156.59,5.759253423838892,5,11.0,5,23,7
47.27,9.58,6.75,0.69,0.67,248.2,184.97,7.906212746947807,1,3.0,17,34,8
79.71,49.89,5.12,3.49,0.52,222.67,120.04,4.271264449785327,5,15.0,10,45,3
85.16,19.54,5.67,3.33,0.55,341.69,18.18,6.594603854667836,9,0.0,8,25,4
26.27,13.39,6.67,0.21,0.67,18.81,330.27,1.3069812546475195,9,6.0,4,21,10
73.34,38.77,1.9,1.84,0.18,141.89,147.83,2.596247291765563,8,8.0,10,29,3
69.16,14.98,7.19,1.97,0.72,343.89,326.27,2.6015572259706317,7,9.0,10,34,3
41.11,9.95,6.61,0.88,0.66,114.26,197.21,7.612883816268313,0,3.0,2,33,24
40.38,14.99,1.21,4.58,0.1,305.73,303.29,1.326197572008031,8,4.0,9,26,0
59.16,42.69,8.63,0.96,0.87,334.04,28.8,2.988812473207377,0,20.0,5,30,8
85.77,23.68,1.52,4.94,0.16,319.27,124.49,3.926537915263267,4,5.0,10,29,8
96.14,24.63,2.02,2.94,0.21,300.91,61.2,2.046191584383048,5,2.0,10,16,0
81.8,24.22,6.12,1.65,0.61,354.46,333.37,3.7453170760297514,7,0.0,4,28,8
31.31,48.58,8.21,1.97,0.83,286.1,281.48,0.7638062581571312,0,36.0,4,42,18
93.51,11.97,3.47,2.89,0.36,48.06,12.49,4.899306073312835,9,-1.0,11,17,6
79.2,47.88,5.44,2.89,0.56,31.47,357.43,3.703039292257108,0,9.0,6,22,1
67.6,45.69,8.46,1.45,0.85,29.15,341.18,2.391401262858245,0,3.0,2,40,4
35.73,9.17,5.19,1.31,0.52,254.31,174.51,3.8029067829753638,0,1.0,10,25,1
63.62,41.82,6.21,2.19,0.61,334.55,15.14,1.3225732493892373,1,5.0,3,48,8
67.6,37.44,1.81,3.04,0.18,190.32,22.0,4.871180555060546,3,-3.0,10,39,19
108.46,42.01,4.46,0.72,0.45,216.89,164.65,1.326386067478105,10,2.0,4,4,2
54.44,42.73,3.89,2.77,0.39,175.24,171.49,2.3187065359807804,10,-2.0,4,43,2
36.53,38.7,3.59,0.69,0.36,107.05,351.78,7.14081928072683,2,-3.0,10,23,25
56.08,11.15,6.99,1.74,0.71,235.7,166.91,6.939459633141476,1,17.0,6,29,12
82.85,33.72,8.6,1.54,0.86,348.32,12.97,1.8594622878671143,2,11.0,10,37,0
41.86,10.21,4.03,3.01,0.4,312.57,211.74,5.461226968365259,1,-7.0,10,26,32
44.38,20.14,7.12,2.05,0.72,235.58,185.53,5.028021479667724,5,9.0,10,25,3
67.54,5.51,5.66,1.43,0.57,101.84,171.25,6.314847583275467,0,4.0,10,38,3
23.37,31.44,2.95,3.0,0.3,172.63,2.13,5.0819287677022755,4,-6.0,8,19,4
82.29,48.72,3.31,1.27,0.34,189.05,316.28,6.2395512659164885,3,0.0,10,28,5
71.59,36.38,8.79,0.81,0.88,31.53,356.34,1.9584943196241396,1,5.0,4,34,8
59.42,48.68,6.72,2.55,0.68,8.55,356.16,0.6338769596696218,1,4.0,10,47,1
55.66,45.34,7.28,0.41,0.73,20.28,339.47,2.6730132809247342,0,3.0,5,48,4
32.16,34.87,7.05,4.15,0.72,42.73,13.01,2.304126732625616,2,3.0,5,25,0
9.49,51.31,7.07,2.98,0.72,234.54,285.77,0.9000555538409895,0,22.0,2,22,0
85.22,30.0,4.73,0.25,0.47,97.3,1.94,2.7244265451650636,2,-4.0,6,29,7
36.55,2.51,3.57,1.36,0.36,301.15,194.61,3.484322028745339,0,4.0,10,22,0
71.74,20.94,6.33,2.86,0.63,12.96,330.28,4.334166586553864,3,13.0,10,26,4
47.43,32.18,6.05,1.64,0.6,172.32,196.1,1.2539936203984439,7,6.0,7,43,2
39.96,24.73,3.24,3.45,0.34,29.71,280.12,6.392808459511363,7,3.0,7,32,2
31.25,42.64,4.81,1.56,0.48,110.68,18.24,6.466134857857514,2,-3.0,10,25,5
85.46,31.74,3.56,0.99,0.36,200.59,5.08,5.079468476130152,1,-6.0,10,30,17
55.3,15.53,0.47,2.64,0.05,61.72,124.37,6.111996400522503,6,13.0,10,41,7
103.32,17.5,5.62,3.42,0.56,345.54,51.28,2.3598305023878385,7,7.0,11,11,2
96.4,38.16,7.17,0.87,0.72,33.76,327.13,4.473712105176193,1,10.0,10,4,7
84.74,46.13,6.13,1.52,0.62,123.48,1.94,10.238754807104227,0,4.0,10,21,1
76.39,45.21,6.11,1.63,0.62,122.43,2.44,2.087534430853784,0,4.0,2,29,1
61.53,36.85,2.38,1.74,0.23,92.03,70.12,1.612265486822817,6,12.0,10,34,2
63.66,16.5,2.21,1.93,0.22,12.01,220.97,7.851751396981442,3,-1.0,10,48,12
41.51,20.16,7.82,0.93,0.79,245.68,171.92,4.765228221187313,1,6.0,10,25,22
85.76,4.87,3.36,2.98,0.33,289.27,216.09,6.617325743833374,0,1.0,10,25,2
14.1,39.83,6.29,2.44,0.64,135.5,288.84,4.746050990033713,2,15.0,10,16,1
36.39,30.17,3.75,3.0,0.39,212.15,100.38,4.638156961552725,7,3.0,10,25,2
46.18,37.87,2.68,3.72,0.28,216.78,30.68,2.436000821017927,3,4.0,2,33,1
50.62,48.83,6.73,1.82,0.68,276.35,7.68,2.0181427105138026,0,2.0,10,38,1
70.11,34.85,6.66,2.66,0.67,215.76,133.4,5.26380090808914,4,17.0,2,46,3
79.25,43.81,1.02,2.76,0.09,209.65,335.41,3.2483380365965644,0,3.0,10,34,1
87.16,33.63,5.41,3.06,0.54,143.26,212.5,1.1346365056704233,5,5.0,5,19,1
67.35,16.2,5.67,3.95,0.57,26.47,356.31,1.0140019723846683,9,17.0,10,25,1
70.93,24.56,6.66,2.51,0.68,249.58,93.15,2.3693247983339183,0,39.0,10,25,3
79.37,21.25,6.98,2.45,0.71,230.75,186.43,10.332027874526855,4,2.0,10,33,6
48.84,20.66,4.28,1.13,0.43,236.1,162.46,4.610694090915164,3,-3.0,10,42,8
64.44,37.47,3.22,3.0,0.31,297.03,2.94,0.9398404119849235,1,8.0,5,47,3
102.83,40.1,6.39,1.85,0.65,185.62,84.5,7.203068790453138,1,18.0,5,22,4
89.23,39.54,4.99,1.94,0.5,206.34,304.95,7.711459005920995,6,-3.0,10,25,7
12.77,43.59,6.46,2.16,0.65,263.01,12.52,5.262432897434419,2,0.0,8,3,4
28.77,13.48,4.93,3.11,0.5,314.71,25.15,1.3314653581674603,9,6.0,9,13,1
57.69,34.2,5.76,2.65,0.57,219.42,147.11,4.048468846366489,8,3.0,9,47,3
67.09,45.29,6.9,3.28,0.69,293.01,355.35,1.1834272263219154,0,4.0,3,47,0
68.73,44.3,6.21,1.57,0.62,292.56,5.11,7.627856841865867,1,2.0,10,43,5
39.18,50.05,4.45,0.59,0.44,297.91,355.02,5.445456821975541,0,13.0,10,15,1
52.93,41.39,0.91,1.37,0.08,245.28,230.25,5.3314632137903795,9,13.0,10,29,3
60.19,40.95,2.78,2.68,0.27,256.48,8.15,2.597537295208677,1,5.0,10,45,8
84.77,17.1,2.49,3.48,0.26,311.26,38.17,4.826447969262694,5,18.0,10,42,5
102.6,43.37,2.07,3.6,0.21,232.6,184.57,4.326857982416351,10,6.0,4,13,3
104.08,11.68,4.98,0.45,0.52,36.34,53.67,1.9077997798511253,9,5.0,9,9,2
42.79,16.69,5.54,3.4,0.56,300.46,47.57,1.9550959055759907,4,13.0,10,20,3
101.1,8.03,3.89,5.12,0.41,265.28,164.89,4.069606860619347,1,7.0,10,15,8
33.24,50.4,4.32,2.43,0.43,281.2,329.99,1.890026454841308,0,11.0,8,11,1
36.42,19.1,1.19,3.36,0.13,312.26,93.76,8.661420206871385,0,4.0,10,23,8
48.04,39.07,5.71,0.98,0.57,91.41,26.45,9.907678840172403,2,-3.0,3,42,5
47.53,5.38,5.89,1.48,0.59,327.53,162.56,9.963633875248524,0,4.0,10,35,3
59.15,29.52,2.54,2.21,0.24,268.12,336.87,3.9118921253020256,3,8.0,10,41,4
65.78,20.16,6.46,1.67,0.64,353.89,38.18,1.8528356645962925,4,6.0,13,50,9
79.59,16.22,5.91,1.92,0.59,235.95,180.44,1.393018305694511,2,8.0,12,37,5
82.27,15.71,1.51,2.71,0.16,352.75,187.13,7.195554182966034,2,-4.0,10,32,12
66.42,5.34,3.27,2.3,0.33,58.29,189.74,4.810259868239971,1,9.0,7,35,0
55.29,48.47,6.76,3.25,0.68,68.5,23.47,1.2761269529321908,1,8.0,10,44,1
9.66,15.95,3.1,1.45,0.32,7.12,180.13,5.6838367323490235,2,-5.0,10,6,6
13.93,36.75,1.39,2.22,0.13,169.97,70.34,8.562908384421732,7,-2.0,9,7,22
45.18,5.8,6.15,2.09,0.62,289.99,194.53,1.1038568747804234,0,9.0,10,25,0
61.22,27.68,3.74,2.76,0.38,350.36,51.09,4.182080821791953,6,4.0,7,49,4
85.09,48.23,6.94,2.32,0.71,281.46,3.96,5.620720594372216,0,9.0,10,33,2
